epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6082.02,1.3771,3.83517,1.55529,0.43651,0.26464,0.31054,0.22969,1.29912,2.90764,1.38167,0.0700746,0.00332504,0.00332504
2,11090.2,1.29412,3.03914,1.47984,0.37029,0.33199,0.34387,0.25533,1.21053,2.60099,1.2913,0.0399083,0.00649208,0.00649208
3,15868.7,1.41537,3.04564,1.55431,0.27972,0.36714,0.27037,0.1761,1.52002,3.21293,1.60014,0.00957554,0.00949262,0.00949262
4,19597.1,1.62461,3.39483,1.72142,0.28704,0.31439,0.22152,0.14215,1.59163,2.95112,1.64725,0.00925075,0.00925075,0.00925075
5,23112.4,1.64183,3.41644,1.73756,0.34169,0.28407,0.18406,0.10112,1.68759,3.02783,1.7624,0.009001,0.009001,0.009001
6,26347.8,1.6157,3.32142,1.74124,0.4523,0.32167,0.25322,0.15456,1.65207,2.7739,1.77106,0.00875125,0.00875125,0.00875125
7,29414.7,1.57695,3.22938,1.71854,0.38428,0.3724,0.30427,0.18817,1.49442,2.56069,1.60058,0.0085015,0.0085015,0.0085015
